,period,uidlevel2,uidlevel3,namelevel2,namelevel3,fac_rupture
19,201701,F9w3VW1cQmb,iHmCGdXARXG,hk Haut Katanga Province,hk Kilwa Zone de Santé,2.0
20,201701,F9w3VW1cQmb,nhdQUgOeBQU,hk Haut Katanga Province,hk Katuba Zone de Santé,0.0
21,201701,F9w3VW1cQmb,qzQdkny6PZ4,hk Haut Katanga Province,hk Mufunga Sampwe Zone de Santé,3.0
22,201701,F9w3VW1cQmb,sAsXOxkBdrE,hk Haut Katanga Province,hk Kowe Zone de Santé,0.0
23,201701,F9w3VW1cQmb,uIuYpiQm6m8,hk Haut Katanga Province,hk Vangu Zone de Santé,0.0
24,201701,F9w3VW1cQmb,uocpzPZHiEo,hk Haut Katanga Province,hk Kamalondo Zone de Santé,1.0
25,201701,F9w3VW1cQmb,zMfBT8xVQeH,hk Haut Katanga Province,hk Kampemba Zone de Santé,0.0
26,201701,GnLX8MNgxZw,Bxi65HPz420,sk Sud Kivu Province,sk Idjwi Zone de Santé,1.0
27,201701,GnLX8MNgxZw,MOESL4KbKoV,sk Sud Kivu Province,sk Shabunda Zone de Santé,2.0
28,201701,GnLX8MNgxZw,UkT2MUS83YY,sk Sud Kivu Province,sk Lulingu Zone de Santé,1.0
29,201701,GnLX8MNgxZw,XFUHGajCqjY,sk Sud Kivu Province,sk Lemera Zone de Santé,0.0
30,201701,GnLX8MNgxZw,euP5fSU9vky,sk Sud Kivu Province,sk Kalole Zone de Santé,0.0
31,201701,GnLX8MNgxZw,nfYQfVxJRyJ,sk Sud Kivu Province,sk Mwana Zone de Santé,1.0
32,201701,GnLX8MNgxZw,rv3KA7DrJCO,sk Sud Kivu Province,sk Kamituga Zone de Santé,1.0
33,201701,GnLX8MNgxZw,x4xQfjclCTo,sk Sud Kivu Province,sk Walungu Zone de Santé,3.0
34,201701,I8CuQpdBQfP,HYPBUncgldT,kr Kasai Central Province,kr Bena Leka Zone de Santé,0.0
35,201701,I8CuQpdBQfP,ZIEdn6Pptv7,kr Kasai Central Province,kr Lubondaie Zone de Santé,2.0
36,201701,I8CuQpdBQfP,csMZZqDFCvW,kr Kasai Central Province,kr Mikalayi Zone de Santé,0.0
37,201701,I8CuQpdBQfP,k3UBz1nclY7,kr Kasai Central Province,kr Tshikula Zone de Santé,0.0
38,201701,I8CuQpdBQfP,m2DHxGhogWK,kr Kasai Central Province,kr Kananga Zone de Santé,1.0
39,201701,I8CuQpdBQfP,wq3tWiKJkNr,kr Kasai Central Province,kr Ndesha Zone de Santé,1.0
40,201701,JkIljbLc4Ny,ArdlF8PnpYL,su Sud Ubangi Province,su Libenge Zone de Santé,8.0
41,201701,JkIljbLc4Ny,F2sZHvPlln6,su Sud Ubangi Province,su Gemena Zone de Santé,0.0
42,201701,JkIljbLc4Ny,QNFYEQrW7Dy,su Sud Ubangi Province,su Zongo Zone de Santé,0.0
43,201701,JkIljbLc4Ny,izt3XGlBrmK,su Sud Ubangi Province,su Bokonzi Zone de Santé,1.0
44,201701,PvtAI4RUMkr,vyNZCFIed9O,kg Kwango Province,kg Feshi Zone de Santé,0.0
45,201701,PvtAI4RUMkr,xUfv1fcnAmb,kg Kwango Province,kg Wamba Lwadi Zone de Santé,0.0
46,201701,Q4cbnIAo10f,OIhgsXcZf6x,it Ituri Province,it Drodro Zone de Santé,1.0
47,201701,Q4cbnIAo10f,RjHZChl5gJQ,it Ituri Province,it Mambasa Zone de Santé,2.0
48,201701,Q4cbnIAo10f,TCE5waEW7Fi,it Ituri Province,it Nizi Zone de Santé,1.0
49,201701,TwSa8zUu09Q,Ab6jrKWO5EZ,kn Kinshasa Province,kn Kokolo Zone de Santé,0.0
50,201701,TwSa8zUu09Q,BjbUZ5acV7t,kn Kinshasa Province,kn Bandalungwa Zone de Santé,0.0
51,201701,TwSa8zUu09Q,JhJFxKnFvmJ,kn Kinshasa Province,kn Limete Zone de Santé,4.0
52,201701,TwSa8zUu09Q,NwNyAitXVsr,kn Kinshasa Province,kn Kingabwa Zone de Santé,0.0
53,201701,TwSa8zUu09Q,ShcGSNMpF7z,kn Kinshasa Province,kn Binza Meteo Zone de Santé,2.0
54,201701,TwSa8zUu09Q,SqWL31RNyKx,kn Kinshasa Province,kn Makala Zone de Santé,0.0
55,201701,TwSa8zUu09Q,UrJlHRGZGGJ,kn Kinshasa Province,kn Matete Zone de Santé,0.0
56,201701,TwSa8zUu09Q,ZTt8HbFGrY4,kn Kinshasa Province,kn Kingasani Zone de Santé,1.0
57,201701,TwSa8zUu09Q,cycttnJlR4L,kn Kinshasa Province,kn Kimbanseke Zone de Santé,1.0
58,201701,TwSa8zUu09Q,hL8oJfWHx3g,kn Kinshasa Province,kn Masina 2 Zone de Santé,2.0
59,201701,TwSa8zUu09Q,m0D9iUAjJ1G,kn Kinshasa Province,kn Nsele Zone de Santé,0.0
60,201701,TwSa8zUu09Q,m5B0okd0KaZ,kn Kinshasa Province,kn Binza Ozone Zone de Santé,0.0
61,201701,TwSa8zUu09Q,oeP2sQLMCuy,kn Kinshasa Province,kn Kintambo Zone de Santé,1.0
62,201701,TwSa8zUu09Q,rK2ODHilbAP,kn Kinshasa Province,kn Ndjili Zone de Santé,1.0
63,201701,TwSa8zUu09Q,sZ2goXLKmQX,kn Kinshasa Province,kn Bumbu Zone de Santé,1.0
64,201701,TwSa8zUu09Q,ubl3NORPhsC,kn Kinshasa Province,kn Mont Ngafula 1 Zone de Santé,1.0
65,201701,TwSa8zUu09Q,wTaqhPcijDM,kn Kinshasa Province,kn Kikimi Zone de Santé,2.0
66,201701,TwSa8zUu09Q,xZy8t34pvs6,kn Kinshasa Province,kn Kinshasa Zone de Santé,0.0
67,201701,dJ3v8xc6ZIK,S0Ne5rWQhxw,ll Lualaba Province,ll Mutshatsha Zone de Santé,0.0
68,201701,dJ3v8xc6ZIK,cw1CZyDiPyA,ll Lualaba Province,ll Bunkeya Zone de Santé,3.0
69,201701,dJ3v8xc6ZIK,eWGgthNBOZ8,ll Lualaba Province,ll Fungurume Zone de Santé,6.0
70,201701,dJ3v8xc6ZIK,goYHUDWT3jn,ll Lualaba Province,ll Lubudi Zone de Santé,2.0
71,201701,dJ3v8xc6ZIK,mSQE0BqfXOy,ll Lualaba Province,ll Dilala Zone de Santé,2.0
72,201701,dJ3v8xc6ZIK,uFV6BUpJi7E,ll Lualaba Province,ll Lualaba Zone de Santé,5.0
73,201701,dJ3v8xc6ZIK,xMdqjEKgZLw,ll Lualaba Province,ll Manika Zone de Santé,3.0
74,201701,dJ3v8xc6ZIK,yAdgorGUtcE,ll Lualaba Province,ll Kanzenze Zone de Santé,1.0
75,201701,dKdrd8HqZWz,DD5m0lzETfF,kc Kongo Central Province,kc Inga Zone de Santé,0.0
76,201701,dKdrd8HqZWz,fWrUdkX9JEv,kc Kongo Central Province,kc Seke Banza Zone de Santé,4.0
77,201701,dKdrd8HqZWz,hniXpSX7Zrq,kc Kongo Central Province,kc Tshela Zone de Santé,0.0
78,201701,fgHCmGhaP2X,FvSLntNvpao,ke Kasai Oriental Province,ke Lubilanji Zone de Santé,1.0
79,201701,fgHCmGhaP2X,ZxyZ7L3ynso,ke Kasai Oriental Province,ke Bonzola Zone de Santé,1.0
80,201701,fgHCmGhaP2X,v4bwDhzBFks,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,2.0
81,201701,fgHCmGhaP2X,xx5xiY5vVBa,ke Kasai Oriental Province,ke Bipemba Zone de Santé,2.0
82,201701,hyvduSNKvfe,SpDmHrCCVal,tn Tanganyika Province,tn Nyemba Zone de Santé,0.0
83,201701,hyvduSNKvfe,W7IdWpJnPra,tn Tanganyika Province,tn Mbulula Zone de Santé,2.0
84,201701,hyvduSNKvfe,dihBljVQG6z,tn Tanganyika Province,tn Ankoro Zone de Santé,1.0
85,201701,hyvduSNKvfe,kH7KijWY3eF,tn Tanganyika Province,tn Kalemie Zone de Santé,7.0
86,201701,iu4Zj3Zq39m,N3EOJsjCXzW,nu Nord Ubangi Province,nu Karawa Zone de Santé,1.0
87,201701,krWZMdwGDIf,Xol9qIrf1Gi,mg Mongala Province,mg Lisala Zone de Santé,1.0
88,201701,mnOXJ2Oa5U7,ThkZT6koPKj,tp Tshopo Province,tp Ubundu Zone de Santé,0.0
89,201701,mnOXJ2Oa5U7,ZHIrX4z487c,tp Tshopo Province,tp Makiso Kisangani Zone de Santé,10.0
90,201701,mnOXJ2Oa5U7,dxiEfVDsieA,tp Tshopo Province,tp Bengamisa Zone de Santé,2.0
91,201701,mnOXJ2Oa5U7,pLBZiohnxFC,tp Tshopo Province,tp Bafwasende Zone de Santé,3.0
92,201701,mnOXJ2Oa5U7,wOWB7WbNuSN,tp Tshopo Province,tp Mangobo Zone de Santé,4.0
93,201701,mnOXJ2Oa5U7,yS5rrhCjubi,tp Tshopo Province,tp Basali Zone de Santé,0.0
94,201701,rWrCdr321Qu,joxrJQ6anPt,bu Bas Uele Province,bu Viadana Zone de Santé,7.0
95,201701,u0vP3ZicczY,dQ9r634pZZF,md Maindombe Province,md Kiri Zone de Santé,1.0
96,201701,u0vP3ZicczY,j89PZlq83OT,md Maindombe Province,md Nioki Zone de Santé,9.0
97,201701,uyuwe6bqphf,EyMlz2Qvcmt,mn Maniema Province,mn Punia Zone de Santé,0.0
98,201701,uyuwe6bqphf,HtQZ7yf79SN,mn Maniema Province,mn Lubutu Zone de Santé,0.0
99,201701,wy1lwIP18SL,H0UZDpNtJ17,hu Haut Uele Province,hu Faradje Zone de Santé,0.0
100,201702,BmKjwqc6BEw,IgSLfQbGSnF,kl Kwilu Province,kl Djuma Zone de Santé,1.0
101,201702,BmKjwqc6BEw,e6Wpbl5nqcD,kl Kwilu Province,kl Bulungu Zone de Santé,2.0
102,201702,BmKjwqc6BEw,fXTBfVcge4w,kl Kwilu Province,kl Vanga Zone de Santé,0.0
103,201702,F9w3VW1cQmb,BdGu22qs6aS,hk Haut Katanga Province,hk Tshamilemba Zone de Santé,0.0
104,201702,F9w3VW1cQmb,CSwaGvyMS6Z,hk Haut Katanga Province,hk Sakania Zone de Santé,3.0
105,201702,F9w3VW1cQmb,EofZhh5yYMG,hk Haut Katanga Province,hk Panda Zone de Santé,4.0
106,201702,F9w3VW1cQmb,GpdRlogsSiE,hk Haut Katanga Province,hk Kafubu Zone de Santé,1.0
107,201702,F9w3VW1cQmb,H8vCqAKUlyX,hk Haut Katanga Province,hk Lubumbashi Zone de Santé,2.0
108,201702,F9w3VW1cQmb,IOin37HS2Wz,hk Haut Katanga Province,hk Kenya Zone de Santé,2.0
109,201702,F9w3VW1cQmb,NR5cDy2jhiJ,hk Haut Katanga Province,hk Kambove Zone de Santé,0.0
110,201702,F9w3VW1cQmb,OcTqzK4K1RV,hk Haut Katanga Province,hk Kashobwe Zone de Santé,2.0
111,201702,F9w3VW1cQmb,Q22qlkhPQDO,hk Haut Katanga Province,hk Kikula Zone de Santé,0.0
112,201702,F9w3VW1cQmb,QA2FRWLQqWE,hk Haut Katanga Province,hk Kisanga Zone de Santé,1.0
113,201702,F9w3VW1cQmb,QteKQ66ixqO,hk Haut Katanga Province,hk Mumbunda Zone de Santé,0.0
114,201702,F9w3VW1cQmb,Vue5tcMpaGh,hk Haut Katanga Province,hk Kasenga Zone de Santé,2.0
115,201702,F9w3VW1cQmb,YFSLTwHFlOk,hk Haut Katanga Province,hk Ruashi Zone de Santé,2.0
116,201702,F9w3VW1cQmb,ZMH0kkBQFs9,hk Haut Katanga Province,hk Kipushi Zone de Santé,6.0
117,201702,F9w3VW1cQmb,bAFJ18IAf2S,hk Haut Katanga Province,hk Kapolowe Zone de Santé,2.0
118,201702,F9w3VW1cQmb,fdlN13eHB5u,hk Haut Katanga Province,hk Pweto Zone de Santé,10.0
119,201702,F9w3VW1cQmb,iHmCGdXARXG,hk Haut Katanga Province,hk Kilwa Zone de Santé,3.0
120,201702,F9w3VW1cQmb,nhdQUgOeBQU,hk Haut Katanga Province,hk Katuba Zone de Santé,0.0
121,201702,F9w3VW1cQmb,qzQdkny6PZ4,hk Haut Katanga Province,hk Mufunga Sampwe Zone de Santé,2.0
122,201702,F9w3VW1cQmb,sAsXOxkBdrE,hk Haut Katanga Province,hk Kowe Zone de Santé,0.0
123,201702,F9w3VW1cQmb,uIuYpiQm6m8,hk Haut Katanga Province,hk Vangu Zone de Santé,1.0
124,201702,F9w3VW1cQmb,uocpzPZHiEo,hk Haut Katanga Province,hk Kamalondo Zone de Santé,0.0
125,201702,F9w3VW1cQmb,zMfBT8xVQeH,hk Haut Katanga Province,hk Kampemba Zone de Santé,5.0
126,201702,GnLX8MNgxZw,Bxi65HPz420,sk Sud Kivu Province,sk Idjwi Zone de Santé,5.0
127,201702,GnLX8MNgxZw,cXkCT53xxfk,sk Sud Kivu Province,sk Miti Murhesa Zone de Santé,1.0
128,201702,GnLX8MNgxZw,euP5fSU9vky,sk Sud Kivu Province,sk Kalole Zone de Santé,1.0
129,201702,GnLX8MNgxZw,nfYQfVxJRyJ,sk Sud Kivu Province,sk Mwana Zone de Santé,1.0
130,201702,I8CuQpdBQfP,HYPBUncgldT,kr Kasai Central Province,kr Bena Leka Zone de Santé,0.0
131,201702,I8CuQpdBQfP,ZIEdn6Pptv7,kr Kasai Central Province,kr Lubondaie Zone de Santé,1.0
132,201702,I8CuQpdBQfP,csMZZqDFCvW,kr Kasai Central Province,kr Mikalayi Zone de Santé,0.0
133,201702,I8CuQpdBQfP,k3UBz1nclY7,kr Kasai Central Province,kr Tshikula Zone de Santé,3.0
134,201702,JkIljbLc4Ny,ArdlF8PnpYL,su Sud Ubangi Province,su Libenge Zone de Santé,1.0
135,201702,JkIljbLc4Ny,F2sZHvPlln6,su Sud Ubangi Province,su Gemena Zone de Santé,0.0
136,201702,JkIljbLc4Ny,QNFYEQrW7Dy,su Sud Ubangi Province,su Zongo Zone de Santé,0.0
137,201702,JkIljbLc4Ny,izt3XGlBrmK,su Sud Ubangi Province,su Bokonzi Zone de Santé,0.0
138,201702,PvtAI4RUMkr,vyNZCFIed9O,kg Kwango Province,kg Feshi Zone de Santé,0.0
139,201702,Q4cbnIAo10f,CLboGR4F3lj,it Ituri Province,it Adja Zone de Santé,1.0
140,201702,Q4cbnIAo10f,OIhgsXcZf6x,it Ituri Province,it Drodro Zone de Santé,1.0
141,201702,Q4cbnIAo10f,TCE5waEW7Fi,it Ituri Province,it Nizi Zone de Santé,2.0
142,201702,TwSa8zUu09Q,Ab6jrKWO5EZ,kn Kinshasa Province,kn Kokolo Zone de Santé,0.0
143,201702,TwSa8zUu09Q,D1jF9OzETge,kn Kinshasa Province,kn Kalamu 1 Zone de Santé,1.0
144,201702,TwSa8zUu09Q,JhJFxKnFvmJ,kn Kinshasa Province,kn Limete Zone de Santé,0.0
145,201702,TwSa8zUu09Q,SqWL31RNyKx,kn Kinshasa Province,kn Makala Zone de Santé,0.0
146,201702,TwSa8zUu09Q,UrJlHRGZGGJ,kn Kinshasa Province,kn Matete Zone de Santé,0.0
147,201702,TwSa8zUu09Q,cycttnJlR4L,kn Kinshasa Province,kn Kimbanseke Zone de Santé,1.0
148,201702,TwSa8zUu09Q,hL8oJfWHx3g,kn Kinshasa Province,kn Masina 2 Zone de Santé,1.0
149,201702,TwSa8zUu09Q,m0D9iUAjJ1G,kn Kinshasa Province,kn Nsele Zone de Santé,1.0
150,201702,TwSa8zUu09Q,m5B0okd0KaZ,kn Kinshasa Province,kn Binza Ozone Zone de Santé,0.0
151,201702,TwSa8zUu09Q,rK2ODHilbAP,kn Kinshasa Province,kn Ndjili Zone de Santé,1.0
152,201702,TwSa8zUu09Q,sZ2goXLKmQX,kn Kinshasa Province,kn Bumbu Zone de Santé,1.0
153,201702,TwSa8zUu09Q,ubl3NORPhsC,kn Kinshasa Province,kn Mont Ngafula 1 Zone de Santé,0.0
154,201702,TwSa8zUu09Q,wTaqhPcijDM,kn Kinshasa Province,kn Kikimi Zone de Santé,2.0
155,201702,TwSa8zUu09Q,xZy8t34pvs6,kn Kinshasa Province,kn Kinshasa Zone de Santé,1.0
156,201702,dJ3v8xc6ZIK,S0Ne5rWQhxw,ll Lualaba Province,ll Mutshatsha Zone de Santé,1.0
157,201702,dJ3v8xc6ZIK,cw1CZyDiPyA,ll Lualaba Province,ll Bunkeya Zone de Santé,5.0
158,201702,dJ3v8xc6ZIK,eWGgthNBOZ8,ll Lualaba Province,ll Fungurume Zone de Santé,6.0
159,201702,dJ3v8xc6ZIK,goYHUDWT3jn,ll Lualaba Province,ll Lubudi Zone de Santé,0.0
160,201702,dJ3v8xc6ZIK,mSQE0BqfXOy,ll Lualaba Province,ll Dilala Zone de Santé,2.0
161,201702,dJ3v8xc6ZIK,uFV6BUpJi7E,ll Lualaba Province,ll Lualaba Zone de Santé,5.0
162,201702,dJ3v8xc6ZIK,xMdqjEKgZLw,ll Lualaba Province,ll Manika Zone de Santé,0.0
163,201702,dJ3v8xc6ZIK,yAdgorGUtcE,ll Lualaba Province,ll Kanzenze Zone de Santé,1.0
164,201702,dKdrd8HqZWz,DD5m0lzETfF,kc Kongo Central Province,kc Inga Zone de Santé,0.0
165,201702,dKdrd8HqZWz,TqMyBh0yNwZ,kc Kongo Central Province,kc Nselo Zone de Santé,1.0
166,201702,dKdrd8HqZWz,bV04pTUIL8A,kc Kongo Central Province,kc Kangu Zone de Santé,3.0
167,201702,dKdrd8HqZWz,fWrUdkX9JEv,kc Kongo Central Province,kc Seke Banza Zone de Santé,10.0
168,201702,dKdrd8HqZWz,hniXpSX7Zrq,kc Kongo Central Province,kc Tshela Zone de Santé,0.0
169,201702,fEKDiQIuqeE,T0YXktZkPCF,hl Haut Lomami Province,hl Kamina Zone de Santé,1.0
170,201702,fgHCmGhaP2X,EpoRodQJ1La,ke Kasai Oriental Province,ke Citenge Zone de Santé,1.0
171,201702,fgHCmGhaP2X,ZxyZ7L3ynso,ke Kasai Oriental Province,ke Bonzola Zone de Santé,1.0
172,201702,fgHCmGhaP2X,v4bwDhzBFks,ke Kasai Oriental Province,ke Mpokolo Zone de Santé,2.0
173,201702,fgHCmGhaP2X,xx5xiY5vVBa,ke Kasai Oriental Province,ke Bipemba Zone de Santé,1.0
174,201702,hyvduSNKvfe,W7IdWpJnPra,tn Tanganyika Province,tn Mbulula Zone de Santé,0.0
175,201702,hyvduSNKvfe,dihBljVQG6z,tn Tanganyika Province,tn Ankoro Zone de Santé,1.0
176,201702,hyvduSNKvfe,dj29qACRqOf,tn Tanganyika Province,tn Kansimba Zone de Santé,4.0
177,201702,hyvduSNKvfe,kH7KijWY3eF,tn Tanganyika Province,tn Kalemie Zone de Santé,7.0
178,201702,iu4Zj3Zq39m,N3EOJsjCXzW,nu Nord Ubangi Province,nu Karawa Zone de Santé,1.0
179,201702,krWZMdwGDIf,Xol9qIrf1Gi,mg Mongala Province,mg Lisala Zone de Santé,1.0
180,201702,mnOXJ2Oa5U7,ThkZT6koPKj,tp Tshopo Province,tp Ubundu Zone de Santé,3.0
181,201702,mnOXJ2Oa5U7,dxiEfVDsieA,tp Tshopo Province,tp Bengamisa Zone de Santé,2.0
182,201702,mnOXJ2Oa5U7,pLBZiohnxFC,tp Tshopo Province,tp Bafwasende Zone de Santé,6.0
183,201702,mnOXJ2Oa5U7,wOWB7WbNuSN,tp Tshopo Province,tp Mangobo Zone de Santé,5.0
184,201702,mnOXJ2Oa5U7,yS5rrhCjubi,tp Tshopo Province,tp Basali Zone de Santé,0.0
185,201702,u0vP3ZicczY,MiaMAqYujLY,md Maindombe Province,md Bolobo Zone de Santé,1.0
186,201702,u0vP3ZicczY,dQ9r634pZZF,md Maindombe Province,md Kiri Zone de Santé,1.0
187,201702,u0vP3ZicczY,j89PZlq83OT,md Maindombe Province,md Nioki Zone de Santé,10.0
188,201702,uyuwe6bqphf,HtQZ7yf79SN,mn Maniema Province,mn Lubutu Zone de Santé,0.0
189,201702,wy1lwIP18SL,H0UZDpNtJ17,hu Haut Uele Province,hu Faradje Zone de Santé,0.0
190,201702,wy1lwIP18SL,ZxQY9szHMx5,hu Haut Uele Province,hu Pawa Zone de Santé,2.0
191,201703,BmKjwqc6BEw,e6Wpbl5nqcD,kl Kwilu Province,kl Bulungu Zone de Santé,2.0
192,201703,BmKjwqc6BEw,fXTBfVcge4w,kl Kwilu Province,kl Vanga Zone de Santé,0.0
193,201703,F9w3VW1cQmb,BdGu22qs6aS,hk Haut Katanga Province,hk Tshamilemba Zone de Santé,1.0
194,201703,F9w3VW1cQmb,CSwaGvyMS6Z,hk Haut Katanga Province,hk Sakania Zone de Santé,12.0
195,201703,F9w3VW1cQmb,EofZhh5yYMG,hk Haut Katanga Province,hk Panda Zone de Santé,2.0
196,201703,F9w3VW1cQmb,GpdRlogsSiE,hk Haut Katanga Province,hk Kafubu Zone de Santé,3.0
197,201703,F9w3VW1cQmb,H8vCqAKUlyX,hk Haut Katanga Province,hk Lubumbashi Zone de Santé,3.0
198,201703,F9w3VW1cQmb,IOin37HS2Wz,hk Haut Katanga Province,hk Kenya Zone de Santé,0.0
199,201703,F9w3VW1cQmb,NR5cDy2jhiJ,hk Haut Katanga Province,hk Kambove Zone de Santé,0.0
200,201703,F9w3VW1cQmb,OcTqzK4K1RV,hk Haut Katanga Province,hk Kashobwe Zone de Santé,0.0
201,201703,F9w3VW1cQmb,Q22qlkhPQDO,hk Haut Katanga Province,hk Kikula Zone de Santé,0.0
202,201703,F9w3VW1cQmb,QA2FRWLQqWE,hk Haut Katanga Province,hk Kisanga Zone de Santé,3.0
203,201703,F9w3VW1cQmb,QteKQ66ixqO,hk Haut Katanga Province,hk Mumbunda Zone de Santé,0.0
204,201703,F9w3VW1cQmb,Vue5tcMpaGh,hk Haut Katanga Province,hk Kasenga Zone de Santé,2.0
205,201703,F9w3VW1cQmb,YFSLTwHFlOk,hk Haut Katanga Province,hk Ruashi Zone de Santé,0.0
206,201703,F9w3VW1cQmb,ZMH0kkBQFs9,hk Haut Katanga Province,hk Kipushi Zone de Santé,6.0
207,201703,F9w3VW1cQmb,bAFJ18IAf2S,hk Haut Katanga Province,hk Kapolowe Zone de Santé,3.0
208,201703,F9w3VW1cQmb,fdlN13eHB5u,hk Haut Katanga Province,hk Pweto Zone de Santé,10.0
209,201703,F9w3VW1cQmb,iHmCGdXARXG,hk Haut Katanga Province,hk Kilwa Zone de Santé,3.0
210,201703,F9w3VW1cQmb,nhdQUgOeBQU,hk Haut Katanga Province,hk Katuba Zone de Santé,0.0
211,201703,F9w3VW1cQmb,qzQdkny6PZ4,hk Haut Katanga Province,hk Mufunga Sampwe Zone de Santé,3.0
212,201703,F9w3VW1cQmb,sAsXOxkBdrE,hk Haut Katanga Province,hk Kowe Zone de Santé,0.0
213,201703,F9w3VW1cQmb,uIuYpiQm6m8,hk Haut Katanga Province,hk Vangu Zone de Santé,2.0
214,201703,F9w3VW1cQmb,uocpzPZHiEo,hk Haut Katanga Province,hk Kamalondo Zone de Santé,0.0
215,201703,F9w3VW1cQmb,zMfBT8xVQeH,hk Haut Katanga Province,hk Kampemba Zone de Santé,0.0
216,201703,GnLX8MNgxZw,Bxi65HPz420,sk Sud Kivu Province,sk Idjwi Zone de Santé,2.0
217,201703,GnLX8MNgxZw,MOESL4KbKoV,sk Sud Kivu Province,sk Shabunda Zone de Santé,1.0
218,201703,GnLX8MNgxZw,XFUHGajCqjY,sk Sud Kivu Province,sk Lemera Zone de Santé,0.0
219,201703,GnLX8MNgxZw,euP5fSU9vky,sk Sud Kivu Province,sk Kalole Zone de Santé,2.0
220,201703,GnLX8MNgxZw,nfYQfVxJRyJ,sk Sud Kivu Province,sk Mwana Zone de Santé,1.0
221,201703,GnLX8MNgxZw,sai4xbqW0CL,sk Sud Kivu Province,sk Nyangezi Zone de Santé,1.0
222,201703,I8CuQpdBQfP,HYPBUncgldT,kr Kasai Central Province,kr Bena Leka Zone de Santé,0.0
223,201703,I8CuQpdBQfP,SAt8yoeSMjD,kr Kasai Central Province,kr Lukonga Zone de Santé,1.0
224,201703,I8CuQpdBQfP,U6rNBblejC5,kr Kasai Central Province,kr Tshikaji Zone de Santé,2.0
225,201703,I8CuQpdBQfP,ZIEdn6Pptv7,kr Kasai Central Province,kr Lubondaie Zone de Santé,2.0
226,201703,I8CuQpdBQfP,csMZZqDFCvW,kr Kasai Central Province,kr Mikalayi Zone de Santé,4.0
227,201703,I8CuQpdBQfP,k3UBz1nclY7,kr Kasai Central Province,kr Tshikula Zone de Santé,0.0
228,201703,I8CuQpdBQfP,wq3tWiKJkNr,kr Kasai Central Province,kr Ndesha Zone de Santé,3.0
229,201703,JkIljbLc4Ny,ArdlF8PnpYL,su Sud Ubangi Province,su Libenge Zone de Santé,9.0
230,201703,JkIljbLc4Ny,F2sZHvPlln6,su Sud Ubangi Province,su Gemena Zone de Santé,0.0
231,201703,JkIljbLc4Ny,QNFYEQrW7Dy,su Sud Ubangi Province,su Zongo Zone de Santé,0.0
232,201703,JkIljbLc4Ny,izt3XGlBrmK,su Sud Ubangi Province,su Bokonzi Zone de Santé,2.0
233,201703,PvtAI4RUMkr,vyNZCFIed9O,kg Kwango Province,kg Feshi Zone de Santé,0.0
234,201703,Q4cbnIAo10f,OIhgsXcZf6x,it Ituri Province,it Drodro Zone de Santé,1.0
235,201703,Q4cbnIAo10f,TCE5waEW7Fi,it Ituri Province,it Nizi Zone de Santé,2.0
